step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
150.0,14,50.0,2.1739130434782608,0.5442513394950979,13,193.0,0.03802114031224563,13,193.0
155.0,5,20.0,0.8695652173913043,1.5034779771631788,5,204.0,0.06852608260447898,5,204.0
160.0,12,40.0,1.7391304347826086,1.1519252218511915,11,225.0,0.050097746841083535,11,225.0
165.0,9,34.0,1.36,1.7952686079690192,9,224.0,0.04354373871524514,9,224.0
170.0,13,45.0,1.875,2.092163778296368,12,208.0,0.07736187613986098,12,208.0
175.0,7,28.0,1.2727272727272727,1.8112898615017983,6,205.0,0.08765365945617114,6,205.0
180.0,13,51.0,2.217391304347826,1.337247916809956,12,213.0,0.04889223558116731,12,213.0
185.0,10,38.0,1.52,1.6342403556264729,10,212.0,0.041294808906353744,10,212.0
190.0,12,45.0,1.875,2.609725342000525,12,185.0,0.07501420805871789,12,185.0
195.0,5,23.0,1.15,1.8738454291818871,5,176.0,0.13193534216420202,5,176.0
200.0,14,41.0,1.7826086956521738,1.9312267956192506,13,186.0,0.0785684007307845,13,186.0
205.0,10,34.0,1.4166666666666667,1.275947425946902,9,191.0,0.054161134522129575,9,191.0
210.0,14,49.0,2.0416666666666665,1.2675697687300584,13,216.0,0.05320737901764171,13,216.0
215.0,6,27.0,1.173913043478261,1.4960904420038283,6,212.0,0.06495463626548922,6,212.0
220.0,12,46.0,1.84,1.4750226565068971,11,204.0,0.03922383473595449,11,204.0
225.0,9,26.0,1.04,1.5418859269849452,9,201.0,0.03688090020036361,9,201.0
230.0,14,47.0,1.9583333333333333,1.8089743921854005,13,227.0,0.05022818634623406,13,227.0
235.0,8,29.0,1.2083333333333333,1.583519804733563,8,236.0,0.04872981970783446,8,236.0
240.0,11,40.0,1.7391304347826086,1.3277978436096822,10,239.0,0.04413011121347403,10,239.0
245.0,10,29.0,1.16,1.8270730239356952,9,229.0,0.05641737977361979,9,229.0
250.0,14,45.0,1.9565217391304348,0.5265894197795338,13,242.0,0.037990084939776764,13,242.0
255.0,8,27.0,1.125,1.883130769239554,8,241.0,0.0677271003530737,8,241.0
260.0,12,56.0,2.4347826086956523,1.30347794744527,11,252.0,0.04104007852338716,11,252.0
265.0,9,40.0,1.6,1.6471588540922446,9,236.0,0.045762670395851836,9,236.0
270.0,13,48.0,2.0869565217391304,1.3986892439845666,12,229.0,0.058493249341723286,12,229.0
275.0,8,27.0,1.2272727272727273,1.7725351969619374,8,236.0,0.0892056269226134,8,236.0
280.0,8,33.0,1.5,2.384528740881838,8,215.0,0.09268759333787246,8,215.0
285.0,7,27.0,1.125,1.7743248893951578,7,196.0,0.06101448389046219,7,196.0
290.0,13,39.0,1.56,2.104850681007919,12,187.0,0.057049318037574924,12,187.0
295.0,6,20.0,0.8333333333333334,1.7948311884396435,6,196.0,0.05562085181696056,6,196.0
300.0,12,37.0,1.5416666666666667,1.3178325769132628,11,221.0,0.04636925894690662,11,221.0
305.0,9,35.0,1.4583333333333333,1.446476710246382,9,209.0,0.0523294334183292,9,209.0
310.0,10,33.0,1.434782608695652,1.3484749394880786,9,235.0,0.046575536424551235,9,235.0
315.0,6,16.0,0.6956521739130435,1.6647428815210068,6,243.0,0.06326086455871682,6,243.0
320.0,8,33.0,1.434782608695652,1.4657352793716256,8,234.0,0.06041343100741482,8,234.0
325.0,9,34.0,1.36,1.560942621453567,9,223.0,0.04037727697651581,9,223.0
330.0,14,57.0,2.4782608695652173,1.4242260342627644,13,210.0,0.06779796472810044,13,210.0
335.0,8,29.0,1.3181818181818181,1.5661301139076438,8,221.0,0.08550988351524393,8,221.0
340.0,12,49.0,2.0416666666666665,1.489817222959896,11,234.0,0.033315763662106916,11,234.0
345.0,8,31.0,1.3478260869565217,1.3253187336646262,8,230.0,0.04798749911713399,8,230.0
350.0,11,33.0,1.375,2.3095866949047417,11,193.0,0.0862093493114411,11,193.0
355.0,6,22.0,1.0476190476190477,2.482446800772089,6,192.0,0.1137726175277795,6,192.0
360.0,9,34.0,1.4782608695652173,1.7644942781454196,9,180.0,0.07923596476418934,9,180.0
365.0,11,43.0,1.72,1.7909472817166625,11,182.0,0.0488168567306032,11,182.0
370.0,15,69.0,2.76,1.8843274123285272,14,209.0,0.04630317620111479,14,209.0
375.0,6,25.0,1.0869565217391304,1.4393572028546253,6,211.0,0.0651616884359064,6,211.0
380.0,11,41.0,1.64,1.6690217233736977,10,221.0,0.04256307500016752,10,221.0
385.0,10,32.0,1.3333333333333333,1.1775898646509833,9,224.0,0.04021224657625554,9,224.0
390.0,12,41.0,1.7826086956521738,1.3807245842148494,11,230.0,0.06226956828799235,11,230.0
395.0,7,26.0,1.1304347826086956,1.7685564343106621,7,229.0,0.07111107130864726,7,229.0
400.0,10,36.0,1.5,2.8634920324008846,10,210.0,0.08733089610780637,10,210.0
405.0,8,29.0,1.2608695652173914,1.0899330909130136,8,197.0,0.0600608380550469,8,197.0
410.0,13,40.0,1.6666666666666667,1.1481091223763071,12,225.0,0.04613547693820237,12,225.0
415.0,8,25.0,1.0869565217391304,1.5289577611692167,8,238.0,0.05243116052007372,8,238.0
420.0,12,46.0,2.0,1.4060037897774231,11,248.0,0.05753494893024934,11,248.0
425.0,9,35.0,1.4,1.4702746647094143,9,234.0,0.03954392826171186,9,234.0
430.0,12,36.0,1.5,2.010650904212086,12,210.0,0.07655645742556069,12,210.0
435.0,5,22.0,1.0,2.1252143967901067,5,219.0,0.0917780172645601,5,219.0
440.0,9,31.0,1.3478260869565217,2.8603856991597634,9,206.0,0.09681603030911765,9,206.0
445.0,11,36.0,1.5,1.5970858503280547,11,196.0,0.05120814641691379,11,196.0
450.0,13,44.0,1.9130434782608696,1.488571586486514,12,186.0,0.06897054739564619,12,186.0
455.0,7,22.0,1.0,1.5455455087808228,7,193.0,0.07491739574599147,7,193.0
460.0,13,41.0,1.7826086956521738,0.622059016458955,13,217.0,0.04090218870455054,13,217.0
465.0,10,38.0,1.52,1.6411419217122998,9,215.0,0.043323820545154934,9,215.0
470.0,13,53.0,2.3043478260869565,1.3428850353754458,12,205.0,0.049468019779131435,12,205.0
475.0,6,25.0,1.1904761904761905,1.8758544688745813,5,217.0,0.10031300633397519,5,217.0
480.0,12,35.0,1.4583333333333333,1.2460945470794023,11,236.0,0.048108254333985585,11,236.0
485.0,10,34.0,1.36,1.727313515382717,10,235.0,0.045959476783569805,10,235.0
490.0,13,51.0,2.125,1.513101504587514,12,251.0,0.06257212810144175,12,251.0
495.0,8,29.0,1.2608695652173914,1.2343294611311537,8,246.0,0.04588253773723956,8,246.0
500.0,11,44.0,1.8333333333333333,1.4968802138337987,10,254.0,0.046545595818629514,10,254.0
505.0,8,30.0,1.2,1.7577518587711611,8,238.0,0.055377440378694597,8,238.0
510.0,14,41.0,1.7826086956521738,1.46641808155575,14,212.0,0.07188158591866371,14,212.0
515.0,5,24.0,1.0909090909090908,2.80747240870493,5,199.0,0.10339019611732067,5,199.0
520.0,11,36.0,1.5,2.232338310093159,10,172.0,0.06625053906088925,10,172.0
