step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,2,0.0,0.0,3.071199115766212,2,0.0,0.22226245066264427,2,0.0
10.0,1,0.0,0.0,4.181356237064272,1,0.0,0.20987016333978706,1,0.0
15.0,0,0.0,0.0,2.9131367267243844,0,0.0,0.19393109277005385,0,0.0
20.0,5,11.0,0.7857142857142857,3.446838179325556,4,7.0,0.11824296023897055,4,7.0
25.0,3,4.0,0.23529411764705882,3.77412469419954,3,16.0,0.1923021289421076,3,16.0
30.0,9,28.0,1.5555555555555556,2.4527518004375843,9,39.0,0.12685625064555153,9,39.0
35.0,8,17.0,0.85,1.8714022514205138,8,51.0,0.09779916859485895,8,51.0
40.0,11,52.0,2.4761904761904763,2.6308793859009394,10,70.0,0.09042613883320212,10,70.0
45.0,8,29.0,1.3181818181818181,1.1866459292364957,8,96.0,0.068909193170886,8,96.0
50.0,12,37.0,1.608695652173913,1.5017949579636372,11,117.0,0.06421406909632851,11,117.0
55.0,7,24.0,1.0434782608695652,1.558508373897925,7,131.0,0.05367337553818766,7,131.0
60.0,11,36.0,1.44,2.695418365267545,11,126.0,0.08072237453468495,11,126.0
65.0,10,36.0,1.5,1.6746442710225864,10,136.0,0.06119223001618989,10,136.0
70.0,11,36.0,1.6363636363636365,1.4376385923503516,10,125.0,0.07119703837596543,10,125.0
75.0,7,17.0,0.7727272727272727,1.7042678773849185,7,130.0,0.07107994657367656,7,130.0
80.0,8,29.0,1.2608695652173914,2.349903917239363,7,129.0,0.06331467765785671,7,129.0
85.0,8,19.0,0.8260869565217391,1.3304916842632994,8,127.0,0.04863214301899567,8,127.0
90.0,10,35.0,1.5217391304347827,2.906327216698085,10,114.0,0.09550687391555185,10,114.0
95.0,4,18.0,0.8181818181818182,3.007054589202835,4,118.0,0.10778747724445369,4,118.0
100.0,7,27.0,1.2272727272727273,1.704028500597868,7,117.0,0.08990507362473195,7,117.0
105.0,9,22.0,0.9166666666666666,0.9457299559260138,9,127.0,0.0396244549954216,9,127.0
110.0,11,38.0,1.5833333333333333,1.1824657853913931,11,152.0,0.042160587863485165,11,152.0
115.0,7,23.0,1.0454545454545454,1.8451604554394478,7,158.0,0.07937341042130741,7,158.0
120.0,10,38.0,1.5833333333333333,1.903568630231421,9,161.0,0.05833128494526666,9,161.0
125.0,8,31.0,1.3478260869565217,1.1391055360708855,8,165.0,0.04010340095659712,8,165.0
130.0,13,42.0,1.75,1.2097038540533558,12,182.0,0.046633173145438155,12,182.0
135.0,6,21.0,0.9130434782608695,1.558756819039651,6,190.0,0.05332050196391898,6,190.0
140.0,10,33.0,1.375,1.66725420615314,10,181.0,0.06358485028873287,10,181.0
145.0,9,36.0,1.5,1.9540471521390768,9,180.0,0.04661720128503373,9,180.0
150.0,13,38.0,1.5833333333333333,1.5352839576723485,12,179.0,0.06381539141150216,12,179.0
155.0,5,23.0,1.0454545454545454,1.5420932445078366,5,192.0,0.07396145224360734,5,192.0
160.0,12,47.0,1.9583333333333333,1.6362246235882196,11,215.0,0.04177878084573949,11,215.0
165.0,9,34.0,1.36,1.9415102149955317,9,221.0,0.05051055671021114,9,221.0
170.0,13,43.0,1.7916666666666667,2.122324340146673,12,209.0,0.08047457442587033,12,209.0
175.0,8,25.0,1.0869565217391304,1.535481288378804,7,208.0,0.0765423427838384,7,208.0
180.0,12,42.0,1.826086956521739,1.3650763471911944,11,211.0,0.0546587071387729,11,211.0
185.0,10,32.0,1.28,1.9946150269344813,10,214.0,0.05599505111572819,10,214.0
190.0,11,40.0,1.7391304347826086,2.6040361546026163,11,183.0,0.09912546621551933,11,183.0
195.0,8,27.0,1.2857142857142858,1.641122373526667,8,182.0,0.11710964420805602,8,182.0
200.0,13,51.0,2.125,2.160081909363413,12,200.0,0.0797513590719108,12,200.0
205.0,10,41.0,1.7826086956521738,1.1579682901221688,10,214.0,0.04816582013662267,10,214.0
210.0,14,47.0,1.88,1.6728344379272826,13,243.0,0.0489608221288135,13,243.0
215.0,7,24.0,1.0434782608695652,1.2770133007409736,7,247.0,0.06175035725919968,7,247.0
220.0,14,45.0,1.8,1.7122998867229566,13,239.0,0.0392542636857286,13,239.0
225.0,10,32.0,1.28,1.3888280637554158,9,237.0,0.038001608077444994,9,237.0
230.0,13,43.0,1.7916666666666667,1.8573087728411848,12,256.0,0.04876742979112298,12,256.0
235.0,6,21.0,0.875,1.691891284853997,6,260.0,0.05668470002677693,6,260.0
240.0,8,25.0,1.0869565217391304,2.3445107794953155,8,240.0,0.05957600300112325,8,240.0
245.0,7,23.0,0.9583333333333334,1.6083452576941986,7,220.0,0.06690091703498278,7,220.0
250.0,11,31.0,1.2916666666666667,1.1184631445938154,11,222.0,0.04001169098345145,11,222.0
255.0,6,19.0,0.8636363636363636,1.7316912883808,6,222.0,0.0816242066861776,6,222.0
260.0,12,44.0,1.9130434782608696,1.2172312906189793,11,245.0,0.042145482606571125,11,245.0
265.0,10,32.0,1.28,1.7154312788079085,10,230.0,0.05094574328142691,10,230.0
270.0,13,47.0,2.0434782608695654,1.6103335335611475,12,216.0,0.07301699659834426,12,216.0
275.0,4,18.0,0.8181818181818182,3.0855831032082475,4,193.0,0.15582507525988917,4,193.0
280.0,9,24.0,1.0909090909090908,1.6693854017813834,8,180.0,0.08553887577908725,8,180.0
285.0,9,27.0,1.125,1.6551672837302174,9,177.0,0.06010347281982753,9,177.0
290.0,13,36.0,1.44,2.139367751520556,12,172.0,0.05853055413292871,12,172.0
295.0,9,24.0,1.0,1.6206862466603351,8,183.0,0.05401131758046128,8,183.0
300.0,12,41.0,1.7083333333333333,0.7624252881241665,11,205.0,0.021459847998349317,11,205.0
305.0,10,34.0,1.36,1.144984779771849,10,204.0,0.02449723589235329,10,204.0
310.0,10,31.0,1.2916666666666667,2.068613747727729,10,201.0,0.08033890133694656,10,201.0
315.0,6,23.0,1.0454545454545454,1.986170661893793,6,201.0,0.08172771314537801,6,201.0
320.0,12,43.0,1.9545454545454546,1.146295060390325,11,191.0,0.07566993684581061,11,191.0
