step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,2,0.0,0.0,3.4785779904248195,2,0.0,0.2771392429084864,2,0.0
10.0,3,2.0,0.2222222222222222,3.911784165514907,3,2.0,0.2183805269357408,3,2.0
15.0,0,0.0,0.0,3.225834988271824,0,1.0,0.23759554830144503,0,1.0
20.0,7,15.0,1.0,3.1934849968954695,6,10.0,0.10781256026428775,6,10.0
25.0,4,5.0,0.29411764705882354,4.0767478189316915,3,19.0,0.22061860971142394,3,19.0
30.0,10,38.0,2.111111111111111,2.436366326963324,9,43.0,0.13119531376550247,9,43.0
35.0,4,8.0,0.4,1.9716380972812768,4,49.0,0.09074745030926974,4,49.0
40.0,11,31.0,1.4761904761904763,1.8317202135688562,10,62.0,0.09801056225667035,10,62.0
45.0,8,25.0,1.1904761904761905,1.352231146449206,7,81.0,0.08710596986705839,7,81.0
50.0,11,32.0,1.391304347826087,1.3510959771552422,10,99.0,0.05187651905693669,10,99.0
55.0,8,21.0,0.875,1.3812984634074612,8,115.0,0.04822661946049435,8,115.0
60.0,11,34.0,1.36,2.633290284357725,11,117.0,0.07175586546981047,11,117.0
65.0,11,37.0,1.5416666666666667,1.799267158851668,11,130.0,0.062400219705075616,11,130.0
70.0,12,55.0,2.5,2.0072577062833075,11,141.0,0.08372251385761832,11,141.0
75.0,7,23.0,1.0952380952380953,2.585867202831628,7,147.0,0.09114195163462789,7,147.0
80.0,6,16.0,0.7619047619047619,2.6423401135749423,5,134.0,0.1059033397189291,5,134.0
85.0,5,11.0,0.5238095238095238,1.3866451003264553,5,115.0,0.06632542504131882,5,115.0
90.0,9,22.0,1.0,2.325895877760138,9,111.0,0.09350344374524017,9,111.0
95.0,6,16.0,0.6956521739130435,2.767841191190207,6,122.0,0.0936798246915454,6,122.0
100.0,8,31.0,1.4761904761904763,2.1635030610471344,7,122.0,0.10416877994530516,7,122.0
105.0,11,27.0,1.125,1.362641325500845,10,134.0,0.05866220483992544,10,134.0
110.0,13,48.0,2.0869565217391304,1.1423822487658393,12,158.0,0.05121924653161147,12,158.0
115.0,7,26.0,1.1304347826086956,1.7656212811561691,7,162.0,0.07717404564574591,7,162.0
120.0,11,42.0,1.75,1.8028040378978387,10,168.0,0.06026242136251554,10,168.0
125.0,10,41.0,1.7083333333333333,1.2764504864660668,10,174.0,0.051107555512373525,10,174.0
130.0,14,59.0,2.4583333333333335,1.486159228587577,13,214.0,0.05229831807196074,13,214.0
135.0,8,32.0,1.3333333333333333,1.3954953003605794,8,228.0,0.042291295577842156,8,228.0
140.0,12,37.0,1.608695652173913,1.5691283860266467,12,253.0,0.05799756944077465,12,253.0
145.0,12,45.0,1.7307692307692308,1.5694202942750872,11,250.0,0.03372781614040259,11,250.0
150.0,14,58.0,2.5217391304347827,0.5463465214556769,13,272.0,0.036897632947145105,13,272.0
155.0,7,30.0,1.3043478260869565,2.0352770662469446,7,274.0,0.07786632118574192,7,274.0
160.0,13,53.0,2.3043478260869565,1.2266538284159392,12,282.0,0.04202767662027261,12,282.0
165.0,11,44.0,1.8333333333333333,1.2719422476772262,11,277.0,0.039122161199186004,11,277.0
170.0,12,47.0,1.9583333333333333,2.1110339846654615,11,257.0,0.07618536782468646,11,257.0
175.0,14,93.0,4.043478260869565,1.5445284402162074,13,287.0,0.07267962378839718,13,287.0
180.0,9,44.0,1.9130434782608696,1.067434026709091,9,286.0,0.04926013006303338,9,286.0
185.0,14,45.0,1.8,1.2095889137629638,13,302.0,0.0278987821886119,13,302.0
190.0,8,33.0,1.32,2.201916486810625,8,307.0,0.046453350156110115,8,307.0
