step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,2,0.0,0.0,3.826719614281319,2,0.0,0.31135300950201467,2,0.0
10.0,3,3.0,0.3333333333333333,4.424910329676554,3,3.0,0.275003418852759,3,3.0
15.0,6,23.0,2.090909090909091,3.0357614876740655,6,23.0,0.15274168134371316,6,23.0
20.0,9,61.0,5.083333333333333,1.4158519442111743,9,61.0,0.0708057558883599,9,61.0
25.0,9,104.0,7.428571428571429,3.3273293645047013,9,104.0,0.19132942157166288,9,104.0
30.0,10,149.0,9.3125,3.117388730084551,10,149.0,0.1183830545751457,10,149.0
35.0,12,198.0,11.647058823529411,1.9248827687255026,11,195.0,0.13193035926437022,11,195.0
40.0,12,255.0,15.0,1.5503623515594824,11,247.0,0.07161382547640581,11,247.0
45.0,10,285.0,15.833333333333334,1.2357513477681978,10,301.0,0.055638809940363916,10,301.0
50.0,5,15.0,0.7894736842105263,2.150658134463591,4,221.0,0.11901061154563326,4,221.0
55.0,14,63.0,2.8636363636363638,2.1870151046652815,13,199.0,0.04868630095666221,13,199.0
60.0,15,112.0,5.333333333333333,0.6481127292776622,14,223.0,0.02179980900209478,14,223.0
65.0,18,187.0,8.130434782608695,1.8588521573300902,17,221.0,0.01592316990618832,17,221.0
70.0,17,272.0,13.6,0.7956431165193849,16,302.0,0.04188935223242456,16,302.0
75.0,19,357.0,16.227272727272727,1.0404617412841388,18,381.0,0.022942863935420395,18,381.0
80.0,17,442.0,21.047619047619047,0.8547226630859793,16,461.0,0.017658967440532414,16,461.0
85.0,18,532.0,24.181818181818183,1.04444284633818,17,546.0,0.0394900474793388,17,546.0
90.0,19,558.0,24.26086956521739,0.583457602659613,19,633.0,0.02876658966856571,19,633.0
95.0,11,205.0,8.541666666666666,1.8636862447760913,11,511.0,0.050130758962336895,11,511.0
100.0,12,61.0,2.652173913043478,2.1633053987951074,11,550.0,0.07461044171589337,11,550.0
105.0,15,129.0,5.608695652173913,1.3869304443128987,14,608.0,0.05103328142638719,14,608.0
110.0,19,211.0,9.173913043478262,1.1404868891769595,18,685.0,0.02096656099009086,18,685.0
115.0,19,305.0,13.26086956521739,1.2287678154723698,18,774.0,0.040146435223129176,18,774.0
120.0,19,400.0,18.181818181818183,1.1185444568801253,18,864.0,0.023425184034193035,18,864.0
125.0,19,466.0,22.19047619047619,0.5020285223225969,19,954.0,0.0,19,954.0
130.0,13,410.0,20.5,2.4482187449792527,13,884.0,0.07230270691276781,13,884.0
135.0,10,370.0,19.473684210526315,2.191129000479839,10,866.0,0.10693375923035273,10,866.0
140.0,3,7.0,0.35,3.193902082122513,3,627.0,0.14927220435954114,3,627.0
145.0,10,33.0,1.5,2.0487385336982973,10,496.0,0.08674189166969701,10,496.0
150.0,13,82.0,3.4166666666666665,1.9321545162303329,13,430.0,0.07959808614360162,13,430.0
155.0,18,164.0,6.833333333333333,1.0691207834809868,17,507.0,0.03196294852981686,17,507.0
160.0,21,263.0,10.52,1.524698728387857,20,601.0,0.021212764187208955,20,601.0
165.0,20,363.0,15.125,1.3454143414744835,19,696.0,0.03646629082681041,19,696.0
170.0,20,463.0,19.291666666666668,1.0729012187835882,19,791.0,0.03123300991162903,19,791.0
175.0,21,563.0,22.52,1.3746441440279036,20,886.0,0.018807182353996154,20,886.0
180.0,18,605.0,25.208333333333332,1.3681227254317951,18,980.0,0.023620282756429346,18,980.0
185.0,9,189.0,8.217391304347826,1.9133120751422046,9,732.0,0.054921056785336195,9,732.0
190.0,12,87.0,3.9545454545454546,1.6871034152931026,11,712.0,0.07271511082886888,11,712.0
195.0,14,113.0,4.913043478260869,1.508201582830938,13,738.0,0.05177327859712243,13,738.0
200.0,18,191.0,7.958333333333333,1.8011044443260464,17,811.0,0.01939821155516492,17,811.0
205.0,19,284.0,12.347826086956522,1.274665356730203,18,899.0,0.04737785086386288,18,899.0
210.0,19,379.0,16.47826086956522,0.9548631517685753,18,989.0,0.0284557346719366,18,989.0
215.0,20,474.0,20.608695652173914,1.3468066212631589,19,1079.0,0.020713127656959374,19,1079.0
220.0,19,569.0,24.73913043478261,1.7585182457947466,18,1169.0,0.04158141053113697,18,1169.0
225.0,16,554.0,24.08695652173913,1.099579478847394,16,1256.0,0.034520271230246424,16,1256.0
230.0,9,78.0,3.5454545454545454,1.201512222973414,8,1127.0,0.049141401352960544,8,1127.0
235.0,16,73.0,3.0416666666666665,0.6368360391919735,15,1147.0,0.021267167920316177,15,1147.0
240.0,21,158.0,6.32,1.3271317072818056,20,1145.0,0.017302252075363206,20,1145.0
245.0,20,258.0,10.75,1.2675682298181254,19,1240.0,0.03383114618258619,19,1240.0
250.0,20,358.0,14.916666666666666,1.25741416936382,19,1335.0,0.03679460432947688,19,1335.0
255.0,21,458.0,19.083333333333332,1.004550505921709,20,1430.0,0.016500904659139216,20,1430.0
260.0,20,558.0,23.25,1.3212494008865001,19,1525.0,0.010457419856571944,19,1525.0
265.0,20,658.0,27.416666666666668,1.0889764676618687,19,1620.0,0.030996869405381156,19,1620.0
270.0,19,650.0,27.083333333333332,1.100907653314893,19,1713.0,0.031187348610548005,19,1713.0
275.0,13,221.0,9.208333333333334,1.2899791791723871,12,1507.0,0.04355503617475901,12,1507.0
280.0,14,122.0,5.083333333333333,1.810367634680194,13,1486.0,0.04818493727710711,13,1486.0
285.0,16,154.0,6.416666666666667,1.6614004781889644,15,1513.0,0.03397187260400315,15,1513.0
290.0,20,244.0,10.608695652173912,0.9410406221365867,19,1598.0,0.02326184615214141,19,1598.0
295.0,19,339.0,14.73913043478261,1.3398265593311498,18,1688.0,0.044404236344754676,18,1688.0
300.0,19,434.0,18.869565217391305,1.1967088105890722,18,1778.0,0.035759461330168954,18,1778.0
305.0,20,529.0,23.0,0.8191280452682769,19,1868.0,0.01726521464628108,19,1868.0
310.0,19,624.0,27.130434782608695,1.2557798399146447,18,1958.0,0.03852779123422141,18,1958.0
315.0,16,600.0,26.08695652173913,1.2791776731201194,16,2045.0,0.04696376739354406,16,2045.0
320.0,10,89.0,4.045454545454546,1.09661004571202,9,1763.0,0.051096614201262665,9,1763.0
325.0,15,75.0,3.0,1.1314956890210275,14,1773.0,0.01615734550251736,14,1773.0
330.0,21,159.0,6.115384615384615,1.6130184831329175,20,1766.0,0.01709896711526897,20,1766.0
335.0,20,259.0,10.791666666666666,1.2552901281087931,19,1861.0,0.044457477603001616,19,1861.0
340.0,20,359.0,14.36,1.5687143211915215,19,1956.0,0.029000360972461697,19,1956.0
345.0,21,459.0,18.36,1.2193209266312084,20,2051.0,0.01655060467073731,20,2051.0
350.0,20,559.0,24.304347826086957,0.7632033908227913,19,2146.0,0.009123517709839896,19,2146.0
355.0,21,659.0,28.652173913043477,0.788034765786762,20,2241.0,0.023994883434262208,20,2241.0
360.0,18,686.0,29.82608695652174,1.0053080786392945,18,2335.0,0.03477566254516139,18,2335.0
365.0,10,208.0,8.666666666666666,2.2214379903063337,10,1780.0,0.06430525766809017,10,1780.0
370.0,12,56.0,2.4347826086956523,1.4121669521999956,11,1788.0,0.06025597585840422,11,1788.0
375.0,16,124.0,5.166666666666667,1.5232725297818506,15,1769.0,0.057654310229832466,15,1769.0
380.0,17,205.0,8.91304347826087,1.4080667165529146,16,1845.0,0.044218535335434773,16,1845.0
385.0,19,300.0,13.043478260869565,1.2536510726655683,18,1935.0,0.036741859393417176,18,1935.0
390.0,20,395.0,17.17391304347826,0.8194153206137497,19,2025.0,0.021858780841440186,19,2025.0
395.0,19,490.0,22.272727272727273,0.8892257590157467,18,2115.0,0.04632602426095832,18,2115.0
400.0,19,585.0,25.434782608695652,1.1074059250843868,18,2205.0,0.034692330785617294,18,2205.0
405.0,18,603.0,26.217391304347824,1.0078596735551661,18,2294.0,0.041852583790918364,18,2294.0
410.0,6,99.0,4.5,2.2539003660537626,6,1905.0,0.07065104127540459,6,1905.0
415.0,11,42.0,1.75,2.1261866993098337,10,1742.0,0.06217033768609218,10,1742.0
420.0,17,110.0,4.4,1.2940180299299202,16,1806.0,0.020109736958544417,16,1806.0
425.0,20,208.0,8.666666666666666,1.148056108021443,19,1899.0,0.033429956273808965,19,1899.0
430.0,20,308.0,12.833333333333334,1.2189095493624054,19,1994.0,0.03948869365154527,19,1994.0
435.0,21,408.0,17.0,1.1429497073371768,20,2089.0,0.025642962075711342,20,2089.0
440.0,20,508.0,22.08695652173913,0.7941957736136507,19,2184.0,0.011871256642194985,19,2184.0
445.0,20,608.0,25.333333333333332,1.153531026189323,19,2279.0,0.03172141766686698,19,2279.0
450.0,18,607.0,25.291666666666668,0.9612548810591123,18,2371.0,0.023653627615005526,18,2371.0
455.0,12,196.0,8.166666666666666,1.537488706757287,12,1779.0,0.050046337376697746,12,1779.0
