step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,2,0.0,0.0,3.5739738800609486,2,0.0,0.24257202399561278,2,0.0
10.0,1,0.0,0.0,4.5554787032986725,1,0.0,0.22911738197691356,1,0.0
15.0,0,0.0,0.0,2.8991122468659793,0,2.0,0.20019556170013011,0,2.0
20.0,6,12.0,0.8571428571428571,2.9986189229354077,5,8.0,0.1066116803042955,5,8.0
25.0,3,4.0,0.23529411764705882,3.811404453209149,3,16.0,0.20383855767313425,3,16.0
30.0,9,30.0,1.6666666666666667,2.585618153374572,9,40.0,0.14771128535155711,9,40.0
35.0,7,17.0,0.8947368421052632,1.7282016833415859,7,53.0,0.09907761629890706,7,53.0
40.0,13,54.0,2.5714285714285716,1.9217647257973443,12,85.0,0.08902558242285938,12,85.0
45.0,8,29.0,1.3181818181818181,1.648118357288505,7,110.0,0.07856716446578398,7,110.0
50.0,14,49.0,2.0416666666666665,1.697399393168883,13,130.0,0.05135373174876714,13,130.0
55.0,8,31.0,1.3478260869565217,1.6200285501546756,8,143.0,0.07049330268740123,8,143.0
60.0,9,32.0,1.391304347826087,2.8397416285930746,9,131.0,0.08303316823291983,9,131.0
65.0,12,79.0,3.4347826086956523,2.3334822065662677,12,155.0,0.05898662025254115,12,155.0
70.0,10,58.0,2.6363636363636362,1.6608163442259944,10,159.0,0.06630730647451444,10,159.0
75.0,11,45.0,2.0454545454545454,0.5889322862409898,10,160.0,0.04170032100736222,10,160.0
80.0,5,17.0,0.8095238095238095,1.670053868618948,5,182.0,0.06063471389129818,5,182.0
85.0,9,31.0,1.4090909090909092,1.994152566237026,8,188.0,0.07372245003636543,8,188.0
90.0,8,25.0,1.0869565217391304,1.3042963827125913,8,176.0,0.04362397058169286,8,176.0
95.0,11,37.0,1.5416666666666667,3.0225506464855,11,147.0,0.09271798921903437,11,147.0
100.0,6,20.0,0.8695652173913043,2.5950501891063795,6,153.0,0.10609357004902623,6,153.0
105.0,9,28.0,1.1666666666666667,2.2733030268416865,8,149.0,0.08214628044098546,8,149.0
110.0,10,26.0,1.0833333333333333,1.2510212794095477,9,152.0,0.043247716036677444,9,152.0
115.0,12,37.0,1.608695652173913,1.116277084595677,11,162.0,0.05321697834156249,11,162.0
120.0,6,24.0,1.0909090909090908,1.9683645820901405,6,167.0,0.08572616885821147,6,167.0
125.0,11,39.0,1.6956521739130435,2.060479432379272,11,161.0,0.08598090583107883,11,161.0
130.0,13,46.0,1.9166666666666667,1.238154961433515,12,170.0,0.04923129427995574,12,170.0
135.0,14,61.0,2.5416666666666665,1.6001022153180688,13,200.0,0.05314529069960879,13,200.0
140.0,8,26.0,1.0833333333333333,1.9891646143073312,7,218.0,0.06374341953644062,7,218.0
145.0,11,44.0,1.8333333333333333,1.9573276322848994,10,242.0,0.04716502055749104,10,242.0
150.0,11,38.0,1.52,2.2778650330580863,10,236.0,0.0646148684993771,10,236.0
155.0,11,30.0,1.3043478260869565,0.566214335501586,10,237.0,0.03430137580215212,10,237.0
160.0,7,21.0,0.9130434782608695,1.301032651121653,7,244.0,0.05595184355146841,7,244.0
