step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.530691514441402,1,0.0,0.3388104055236883,1,0.0
10.0,2,2.0,0.2222222222222222,4.411853774364041,2,2.0,0.24849996709150923,2,2.0
15.0,1,1.0,0.09090909090909091,2.533476966688504,1,4.0,0.17915675180427662,1,4.0
20.0,6,20.0,1.4285714285714286,3.3949218048110668,5,16.0,0.13611111230143388,5,16.0
25.0,5,8.0,0.47058823529411764,3.920822029122717,4,25.0,0.19459157346725306,4,25.0
30.0,8,30.0,1.6666666666666667,2.525975393734117,8,45.0,0.1249148862674995,8,45.0
35.0,6,13.0,0.6842105263157895,2.2189249686558146,6,48.0,0.10365005800871058,6,48.0
40.0,11,40.0,1.9047619047619047,2.529722316724772,10,55.0,0.10085466309735214,10,55.0
45.0,6,22.0,1.0,1.527715075028747,6,79.0,0.07703848830129208,6,79.0
50.0,11,36.0,1.565217391304348,1.9630409666842568,10,94.0,0.06398790551531938,10,94.0
55.0,7,25.0,1.0869565217391304,1.5623538377706772,7,112.0,0.057583705850669666,7,112.0
60.0,10,31.0,1.3478260869565217,3.1753043085578976,10,108.0,0.07990184198426369,10,108.0
65.0,9,25.0,1.0869565217391304,1.7979371284496481,9,115.0,0.05643654502108257,9,115.0
70.0,12,48.0,2.2857142857142856,0.6234490682208447,11,132.0,0.043285802632468603,11,132.0
75.0,8,26.0,1.1818181818181819,1.7718903509714308,8,140.0,0.06448799297384751,8,140.0
80.0,9,33.0,1.5,2.2950907791279658,8,136.0,0.06450014476838338,8,136.0
85.0,8,22.0,0.9565217391304348,1.4305472294232733,8,134.0,0.04562985643603693,8,134.0
90.0,11,39.0,1.6956521739130435,3.0987651001787007,11,126.0,0.0980114447291571,11,126.0
95.0,7,25.0,1.1363636363636365,2.385853026120443,7,129.0,0.09450943057764409,7,129.0
100.0,8,30.0,1.3636363636363635,1.939863442513876,7,125.0,0.09768062852395933,7,125.0
105.0,8,21.0,0.875,1.0431582018773835,8,137.0,0.04258662003064825,8,137.0
110.0,12,39.0,1.6956521739130435,1.0050839115282912,11,149.0,0.046077407852610094,11,149.0
115.0,4,19.0,0.8636363636363636,1.990416819427179,4,148.0,0.0916470988854008,4,148.0
120.0,10,27.0,1.125,2.187404510381306,9,142.0,0.07450925294737973,9,142.0
