step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,2,0.0,0.0,4.159859733199701,2,0.0,0.2857136045435052,2,0.0
10.0,3,2.0,0.2222222222222222,4.444813976416863,3,2.0,0.2336270880958658,3,2.0
15.0,5,16.0,1.4545454545454546,2.7592148597815442,5,16.0,0.12017540711851246,5,16.0
20.0,9,50.0,3.8461538461538463,2.166748470940131,9,50.0,0.05144336684901402,9,50.0
25.0,9,93.0,6.642857142857143,2.8552731612581184,9,93.0,0.1640086859289103,9,93.0
30.0,10,138.0,8.117647058823529,3.0530579620778173,10,138.0,0.1388651332380149,10,138.0
35.0,11,185.0,10.882352941176471,1.8759434675702895,10,183.0,0.12379408854347593,10,183.0
40.0,12,242.0,14.235294117647058,1.5869365962099875,11,235.0,0.10158894999021655,11,235.0
45.0,9,273.0,15.166666666666666,1.3003453451728397,9,288.0,0.06896024635063458,9,288.0
50.0,4,13.0,0.6842105263157895,2.126704459962605,3,210.0,0.11260916838413654,3,210.0
55.0,13,60.0,2.857142857142857,1.8936107574146053,12,189.0,0.05927294314126231,12,189.0
60.0,15,105.0,5.0,0.7497977241459293,14,212.0,0.022352798922680665,14,212.0
65.0,18,177.0,7.695652173913044,1.9404181128152593,17,210.0,0.025485235174720202,17,210.0
70.0,17,262.0,13.1,0.7881907464368165,16,290.0,0.04403908075866351,16,290.0
75.0,18,347.0,15.772727272727273,1.2070252760151732,17,370.0,0.03379958867982318,17,370.0
80.0,18,432.0,19.636363636363637,1.046580442311141,17,450.0,0.03350296303391006,17,450.0
85.0,18,521.0,23.681818181818183,1.255341270635556,17,534.0,0.023891797314650767,17,534.0
90.0,18,521.0,22.652173913043477,0.6124544878558478,18,620.0,0.02273372045526649,18,620.0
95.0,12,214.0,8.916666666666666,1.9153426740866528,12,509.0,0.05728226086928945,12,509.0
100.0,11,107.0,4.6521739130434785,2.236745368954609,10,547.0,0.08834143865547579,10,547.0
105.0,14,129.0,5.608695652173913,1.1922977578290805,13,600.0,0.050469618651238356,13,600.0
110.0,18,209.0,9.08695652173913,1.0021680450359323,17,675.0,0.019434400272472393,17,675.0
115.0,19,304.0,13.217391304347826,1.4838358934507176,18,765.0,0.04358900393514784,18,765.0
